image_path,image_quality,LASIS,RASIS,LDTSI,RDTSI,LPOD,RPOD,LBD,RBD,LPT,RPT,LOB,ROB,LIT,RIT,SMPS,LAC,LLSIAS,LMDIAS,RAC,RLSIAS,RMDIAS,LSGT,LLGT,LLT,LFHC,LLFH,LPF,LDF,RSGT,RLGT,RLT,RFHC,RLFH,RPF,RDF
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0085_20251028_14.tif,0,"[436.0, 129.0]","[76.0, 126.0]","[310.0, 222.0]","[201.0, 213.0]","[344.0, 232.0]","[165.0, 223.0]",,,"[333.0, 282.4]","[175.0, 291.0]","[313.0, 306.0, 'FF', 18, 1, 2, 1, 0]","[193.0, 300.0, 'FF', 18, 1, 2, 1, 2]","[322.0, 370.0]","[178.0, 361.0]","[254.0, 285.0]","[381.0, 275.0]","[397.0, 245.0]","[359.0, 307.0]","[134.0, 269.0]","[114.0, 241.0]","[147.0, 300.0]","[447.0, 271.0]","[466.0, 320.0]","[382.0, 337.0]","[381.0, 266.0]","[410.0, 251.0]","[414.0, 405.0]","[403.0, 483.0]","[63.0, 273.0]","[48.0, 321.0]","[131.0, 341.0]","[132.0, 268.0]","[104.0, 251.0]","[99.0, 403.0]","[109.0, 486.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0052_20251027_12.tif,0,"[436.0, 46.0]","[44.0, 69.0]","[303.0, 142.0]","[178.0, 144.0]","[332.0, 142.0]","[152.0, 148.0]",,,"[324.0, 211.0]","[167.0, 218.0]","[304.0, 226.0, 'ACC', 23, 1, 2, 1, 0]","[190.0, 235.0, 'ACC', 14, 1, 2, 1, 0]","[324.0, 293.0]","[174.0, 301.0]","[243.0, 197.0]","[368.0, 187.0]","[387.0, 155.0]","[357.0, 224.0]","[115.0, 201.0]","[95.0, 174.0]","[135.0, 236.0]","[447.0, 194.0]","[458.0, 249.0]","[382.0, 268.0]","[369.0, 187.0]","[400.0, 173.0]","[405.0, 333.0]","[390.0, 425.0]","[44.0, 209.0]","[39.0, 265.0]","[115.0, 279.0]","[118.0, 196.0]","[86.0, 188.0]","[85.0, 355.0]","[103.0, 464.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0059_20251028_14.tif,0,"[475.0, 77.0]","[41.0, 78.0]","[317.0, 158.0]","[196.0, 153.0]","[347.0, 162.0]","[163.0, 161.0]",,,"[341.0, 238.0]","[164.0, 235.0]","[313.0, 264.0, 'FF', 23, 1, 2, 1, 0]","[192.0, 264.0, 'FF', 23, 1, 2, 1, 0]","[324.0, 323.0]","[178.0, 325.0]","[250.0, 222.0]","[391.0, 215.0]","[409.0, 186.0]","[367.0, 253.0]","[108.0, 212.0]","[96.0, 178.0]","[134.0, 241.0]","[455.0, 228.0]","[490.0, 277.0]","[395.0, 314.0]","[395.0, 221.0]","[419.0, 195.0]","[435.0, 376.0]","[423.0, 477.0]","[33.0, 227.0]","[17.0, 278.0]","[111.0, 301.0]","[105.0, 213.0]","[83.0, 186.0]","[71.0, 382.0]","[85.0, 482.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0018_20251124_11.tif,0,"[291.0, 35.0]",,"[174.0, 125.0]","[207.0, 156.0]",,,,,"[202.0, 223.0]",,"[186.0, 247.0, 'FF', 20, 1, 2, 1, 0]",,"[200.0, 294.0]",,"[119.0, 228.0]","[251.0, 200.0]","[275.0, 175.0]","[233.0, 222.0]",,,,"[313.0, 201.0]","[324.0, 244.0]","[251.0, 268.0]","[248.0, 195.0]","[278.0, 179.0]","[271.0, 338.0]","[250.0, 473.0]",,,,,,,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0001_20251027_12.tif,0,"[429.4, 264.7]","[49.1, 114.3]","[325.4, 209.2]","[180.8, 208.5]","[356.4, 226.6]","[148.5, 230.5]",,,"[346.7, 295.7]","[152.4, 294.4]","[323.5, 323.5, 'FF', 18, 1, 2, 1, 0]","[178.2, 319.0, 'FF', 18, 1, 2, 1, 0]","[344.8, 379.0]","[149.1, 376.4]","[253.7, 304.7]","[365.4, 258.3]","[424.8, 256.3]","[386.1, 317.0]","[137.5, 258.3]","[89.7, 246.0]","[120.7, 306.0]","[465.5, 271.2]","[484.9, 328.6]","[406.8, 357.0]","[395.1, 276.3]","[420.3, 296.4]","[441.6, 371.9]","[435.2, 498.4]","[45.2, 271.8]","[21.3, 328.6]","[99.4, 355.1]","[108.5, 276.3]","[85.2, 257.6]","[65.2, 370.0]","[74.2, 499.1]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0039_20251027_12.tif,0,,"[162.7, 89.7]",,"[322.2, 150.4]",,"[290.5, 176.3]",,,,"[315.1, 254.4]",,"[346.1, 273.8, 'FF', 18, 1, 2, 1, 0]","[4.5, 468.7]","[332.5, 335.7]","[409.3, 245.3]",,,,"[260.8, 235.7]","[231.8, 208.5]","[280.9, 264.7]",,,,,,,,"[178.2, 239.5]","[158.8, 293.1]","[249.2, 332.5]","[260.2, 235.7]","[236.3, 217.6]","[209.2, 348.7]","[227.3, 486.8]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0056.tif,0,"[431.9, 115.6]","[21.3, 154.3]","[176.9, 160.1]","[305.4, 158.2]","[327.3, 171.7]","[143.3, 180.1]",,,"[319.6, 252.4]","[153.0, 263.4]","[296.4, 278.3, 'FF', 18, 1, 2, 1, 0]","[177.6, 289.9, 'FF', 18, 1, 2, 1, 0]","[310.6, 332.5]","[176.9, 334.4]","[232.4, 262.8]","[365.4, 233.7]","[382.9, 197.6]","[348.0, 257.6]","[103.3, 242.1]","[83.9, 209.2]","[128.5, 260.8]","[429.4, 234.4]","[444.9, 279.6]","[367.4, 322.2]","[364.8, 232.4]","[387.4, 209.8]","[399.0, 325.4]","[387.4, 490.7]","[41.3, 240.2]","[23.9, 286.7]","[99.4, 328.0]","[101.4, 242.1]","[80.1, 220.8]","[62.0, 326.1]","[60.7, 490.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0054_20251028_14.tif,0,"[444.2, 58.1]","[22.6, 63.9]","[300.9, 149.1]","[160.1, 149.8]","[340.9, 168.5]","[129.8, 173.0]",,,"[339.0, 250.5]","[135.6, 255.0]","[324.8, 273.8, 'FF', 18, 1, 2, 1, 0]","[152.4, 280.2, 'FF', 18, 1, 2, 1, 0]","[344.1, 320.2]","[130.4, 329.3]","[242.1, 269.9]","[398.4, 211.8]","[402.2, 168.5]","[377.7, 244.1]","[79.4, 216.3]","[52.3, 174.3]","[96.8, 251.2]","[452.6, 198.2]","[468.1, 245.3]","[385.5, 269.9]","[408.1, 198.9]","[430.0, 176.3]","[426.1, 288.0]","[401.6, 491.3]","[16.1, 215.0]","[7.1, 263.4]","[89.1, 286.0]","[65.2, 204.0]","[41.3, 190.5]","[49.7, 297.0]","[85.9, 490.7]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0055_20251028_14.tif,0,,"[204.7, 76.8]",,"[354.5, 169.8]",,"[324.1, 197.6]",,,,"[330.6, 296.4]",,"[354.5, 321.5, 'FF', 18, 1, 2, 1, 0]",,"[318.3, 382.9]",,,,,"[262.1, 255.0]","[237.0, 204.0]","[280.9, 287.3]",,,,,,,,"[191.8, 248.6]","[182.1, 304.7]","[277.6, 328.6]","[253.7, 246.0]",,"[231.8, 344.1]","[262.8, 499.1]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0040_20251027_12.tif,0,"[299.6, 105.2]",,"[179.5, 173.0]",,"[206.6, 188.5]",,,,"[191.8, 274.4]",,"[173.7, 294.4, 'FF', 18, 1, 2, 1, 0]",,"[185.3, 343.5]",,"[105.2, 278.3]","[239.5, 247.9]","[260.8, 217.6]","[228.6, 279.6]",,,,"[309.3, 255.7]","[330.6, 305.4]","[250.5, 334.4]","[239.5, 249.2]","[263.4, 231.8]","[282.8, 337.0]","[259.6, 496.5]",,,,,,,
